lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,E0,E1,gap01,status
0.6139393939393939,0.16443752173192272,0.930696823625976,0.930696823625976,0.835253597464014,0.6979065658793585,0.24655147106846784,0.5410706978734421,7.425358677030916,8.271263403656661,0.8459047266257453,✗
0.6151515151515151,0.16455419427845808,0.930696823625976,0.930696823625976,0.8350043032188643,0.6976008428836388,0.24699827316022896,0.5418556331338932,7.424654953103937,8.27005423590036,0.8453992827964232,✗
0.6163636363636363,0.1646696765321306,0.930696823625976,0.930696823625976,0.8347561029119639,0.6972970854622289,0.2474433797363075,0.542636203507708,7.423949732629765,8.268842867370154,0.8448931347403885,✗
0.6175757575757576,0.16478397043683568,0.930696823625976,0.930696823625976,0.8345089972148785,0.6969952912885485,0.2478867863280046,0.5434124026707572,7.423243014992823,8.267629298910844,0.8443862839180207,✗
0.6187878787878788,0.16489707792956032,0.930696823625976,0.930696823625976,0.8342629867881944,0.6966954580420338,0.24832848849298675,0.5441842243567254,7.422534799576559,8.266413531367062,0.843878731790503,✗
0.62,0.16500900094031024,0.930696823625976,0.930696823625976,0.8340180722816635,0.6963975834083027,0.2487684818151658,0.5449516623568127,7.421825085763443,8.265195565583264,0.8433704798198214,✗
0.6212121212121212,0.16511974139204422,0.930696823625976,0.930696823625976,0.833774254334321,0.6961016650792934,0.24920676190462435,0.5457147105194923,7.421113872934979,8.26397540240367,0.8428615294686912,✗
0.6224242424242424,0.1652293012006104,0.930696823625976,0.930696823625976,0.8335315335746316,0.6958077007534221,0.24964332439749154,0.5464733627502213,7.420401160471689,8.262753042672294,0.8423518822006049,✗
0.6236363636363635,0.16533768227468149,0.930696823625976,0.930696823625976,0.833289910620603,0.695515688135716,0.25007816495587587,0.5472276130112071,7.419686947753142,8.26152848723301,0.8418415394798675,✗
0.6248484848484848,0.16544488651569023,0.930696823625976,0.930696823625976,0.8330493860799211,0.6952256249379631,0.2505112792677546,0.5479774553211281,7.418971234157916,8.260301736929419,0.8413305027715028,✗
0.626060606060606,0.16555091581777448,0.930696823625976,0.930696823625976,0.8328099605500694,0.6949375088788408,0.2509426630468941,0.5487228837549075,7.418254019063636,8.259072792604933,0.8408187735412964,✗
0.6272727272727272,0.16565577206771986,0.930696823625976,0.930696823625976,0.8325716346184514,0.6946513376840483,0.2513723120327615,0.5494638924434688,7.417535301846952,8.257841655102775,0.8403063532558228,✗
0.6284848484848484,0.4990927904782346,0.930696823625976,1.2409290981679681,0.8323344088625135,0.6943671090864411,0.25180022199043456,0.550200475573489,7.416815081883551,8.256608325265955,0.8397932433824034,✗
