hotspot_multiplier,chi,topology,backend,hamiltonian_mode,lambda,tau_eq_global,tau_eq_probe,tau_dephase_global,tau_dephase_probe,tau_eq_site_var,tau_dephase_site_var,tau_eq_mode1,tau_dephase_mode1,tau_eq_mode_dom,tau_dephase_mode_dom,tail_mean_global,tail_std_global,threshold_global,tail_mean_probe,tail_std_probe,threshold_probe,tail_mean_site_var,tail_std_site_var,threshold_site_var,tail_mean_mode1,tail_std_mode1,threshold_mode1,tail_mean_mode_dom,tail_std_mode_dom,threshold_mode_dom,final_global_lambda,final_probe_gap,max_abs_probe_gap,final_site_var,final_mode1_amp,final_mode_dom_amp,max_abs_mode1_amp,max_abs_mode_dom_amp,mode1_index,mode_dom_index,mode1_eigval,mode_dom_eigval,dim_nominal,dim_hotspot
2.0,5,star,iterative,sparse,1.7,,,7.272727272727273,7.272727272727273,,5.454545454545455,,,,7.272727272727273,0.6095824502595921,0.0926271829092273,0.020707465843888,-1.1429670942413372,0.17367596797585,0.0388264983851968,0.2138459392564805,0.0639753410664978,0.0115718680494656,-5.313713358212624e-12,4.751792394388466e-10,,-1.0223008475034994,0.1553405081620043,0.0347274759515164,0.7545948755843936,-1.4148653922366106,1.4899203000942975,0.3202950522702523,-5.95678589787596e-10,-1.2654940779597754,1.0458897914400467e-09,1.3326252291967355,1,4,1.0,5.0,20000,20000
4.0,4,cycle,iterative,sparse,0.61,,,36.96969696969697,,,,,,,,0.5051984969481038,0.1117747523211398,0.0364272443966544,-5.4570406526899265e-11,9.403641774594707e-10,,6.026400576338058e-19,5.128884474360318e-19,,-2.1409621833215243e-10,1.065532899971209e-09,,1.6243414009007947e-10,1.1382210630526087e-09,,0.5745370999807476,-1.8332134699150515e-09,3.4533571557915366e-09,1.107853842519534e-18,-2.1440651340502403e-09,-6.396859673486715e-10,2.772574758870419e-09,4.776780761656835e-09,1,2,1.3819660112501049,1.3819660112501055,32768,32768
4.0,4,path,iterative,sparse,1.0,,,10.303030303030305,9.696969696969695,,5.454545454545455,,,,9.696969696969695,0.6364541468492873,0.056850716872304,0.0438730401551389,0.4171827580317542,0.0465869339156489,0.0280075639544167,0.0460161820438002,0.0131898880817674,0.0044094023340108,-2.640946015173311e-11,3.267758257750793e-10,,-0.4514554326246876,0.0784841412996239,0.0294035016414489,0.6907968452446559,0.4644031051611438,0.6061845242065514,0.0572961633144413,4.76842933923569e-10,-0.5165455095582077,1.017525774493046e-09,0.6915144201459021,1,2,0.381966011250105,1.3819660112501055,8192,8192
4.0,4,star,iterative,sparse,1.5,,,5.454545454545455,5.454545454545455,,4.848484848484849,,,,5.454545454545455,0.7928666465407621,0.0966534145564951,0.0394459271733796,-1.4866249622403929,0.1812251522767614,0.0739611134698347,0.3588634134800007,0.0857788344853666,0.0246646721063458,2.7176977335230388e-11,1.5242535546220963e-10,,-1.3296777890680815,0.162092703904343,0.0661528309463872,0.9224049692169032,-1.7295093172399014,1.9681915514098165,0.4785923965702703,4.825698174393267e-11,-1.5469201604644471,3.256280245444998e-10,1.7604040406493957,1,4,1.0,5.0,8192,8192
4.0,4,star,iterative,sparse,1.55,,,6.0606060606060606,6.0606060606060606,,5.454545454545455,,,,6.0606060606060606,0.8131749180281511,0.087335657167028,0.0400189240775619,-1.524702971297246,0.1637543571871575,0.0750354826439756,0.3762455424316239,0.0802926815033019,0.0282544367044687,6.39426012138955e-12,1.3768358760417184e-11,,-1.363735795731574,0.1464663497138185,0.0671137759678737,0.7536138771146529,-1.4130260195587638,2.135161002764633,0.3194628051261258,3.6038838580054744e-11,-1.2638488935116527,3.6038838580054744e-11,1.909746058036883,1,4,1.0,5.0,8192,8192
4.0,4,star,iterative,sparse,1.6,,,6.0606060606060606,6.0606060606060606,,4.242424242424242,,,,6.0606060606060606,0.8003322024943185,0.1427733463078874,0.0379608652635914,-1.5006228797165195,0.2677000242680132,0.0711766223462548,0.3717651728055142,0.1301807455404212,0.0324230224719323,-4.5809693538512155e-11,1.7726799021110974e-10,,-1.3421979070195669,0.2394381807896661,0.0636623064105756,0.6690830658392631,-1.254530748569397,2.2037651782580547,0.2518155838084881,-1.3946335752912375e-10,-1.1220864133579198,4.6202783265947284e-10,1.971107497962337,1,4,1.0,5.0,8192,8192
4.0,4,star,iterative,sparse,1.65,,,7.878787878787879,7.878787878787879,,7.878787878787879,,,,7.878787878787879,0.8473698594675921,0.1519007951840792,0.0407165092019467,-1.588818486505317,0.2848139909634939,0.0763434547511573,0.4168741108003213,0.1429671532489616,0.0281963626690673,-4.1357091362659296e-12,2.2020765616955608e-11,,-1.4210824558904849,0.2547453779009053,0.0682836617865364,1.0815124692584512,-2.0278358798808274,2.18537436109346,0.6579389369033508,-2.451561176286532e-11,-1.8137515498316616,5.877159869882576e-11,1.9546582510754296,1,4,1.0,5.0,8192,8192
4.0,4,star,iterative,sparse,1.7,,,15.151515151515152,15.151515151515152,,9.090909090909092,,,,15.151515151515152,0.8743354007047566,0.1532101700311341,0.0418913161711285,-1.639378876319488,0.287269068808167,0.0785462178191777,0.4432138588836655,0.148586359093661,0.0315149045917611,2.2298204949144917e-12,8.013386745758428e-12,,-1.4663050433327651,0.2569412662754378,0.0702538729691847,0.9874867626203512,-1.851537679919464,2.287397765853074,0.5485106848221121,-7.281397707004089e-12,-1.6560656460752277,2.213902672298929e-11,2.0459107584162615,1,4,1.0,5.0,8192,8192
4.0,5,cycle,iterative,sparse,0.61,,,24.848484848484848,,,,,,,,0.5042173931232551,0.1193600772574604,0.0363487543393315,-4.8282932374466e-10,2.0594320092866207e-09,,1.68180606587285e-18,1.7094952195107325e-18,,-4.832694783349295e-10,1.006036266999707e-09,,-6.329945256990077e-10,2.3725339293947414e-09,,0.5532165075424169,-8.1488815695252e-10,6.578043332261529e-09,9.864430469870224e-19,5.708279681442942e-10,-2.039312128552727e-09,3.177774327936319e-09,9.331267736773865e-09,1,2,1.3819660112501049,1.3819660112501055,100000,100000
4.0,5,path,iterative,sparse,1.0,,,14.545454545454549,17.575757575757578,,,,22.424242424242426,,17.575757575757578,0.6681459670420666,0.0541268342656669,0.0464083398630011,0.4531304994746685,0.0691481482265401,0.0308833435187384,0.0584175715002489,0.0237247035050142,0.0045588213833024,2.396306818242274e-09,3.5363103243625422e-09,1.1694859143163331e-09,-0.5086581113085547,0.1222858980110289,0.0339796617321649,0.6566005966439781,0.4255602912875853,0.6021810858295018,0.0456798180524017,-3.097510014018983e-09,-0.4546981162320206,1.701488074719644e-08,0.6884170095307592,1,2,0.381966011250105,1.3819660112501055,20000,20000
