chi,topology,backend,hamiltonian_mode,lambda,tau_eq_global,tau_eq_probe,tau_dephase_global,tau_dephase_probe,tau_eq_site_var,tau_dephase_site_var,tau_eq_mode1,tau_dephase_mode1,tau_eq_mode_dom,tau_dephase_mode_dom,tail_mean_global,tail_std_global,threshold_global,tail_mean_probe,tail_std_probe,threshold_probe,tail_mean_site_var,tail_std_site_var,threshold_site_var,tail_mean_mode1,tail_std_mode1,threshold_mode1,tail_mean_mode_dom,tail_std_mode_dom,threshold_mode_dom,final_global_lambda,final_probe_gap,max_abs_probe_gap,final_site_var,final_mode1_amp,final_mode_dom_amp,max_abs_mode1_amp,max_abs_mode_dom_amp,mode1_index,mode_dom_index,mode1_eigval,mode_dom_eigval,dim_nominal,dim_hotspot
4,star,iterative,sparse,1.55,,,9.696969696969695,9.696969696969695,,5.454545454545455,,,,9.696969696969695,0.7273267574798525,0.0823994999505661,0.0331510712460808,-1.3637376702823654,0.1544990624190981,0.0621582586025603,0.301384062977771,0.0690164560205621,0.0197038560716017,-8.823757002840437e-12,9.3381502270362e-11,,-1.2197640536845904,0.1381881624010924,0.0555960366248815,0.8562263553084435,-1.6054244162414428,1.7934236239114794,0.4123820089826893,-4.4007075761243186e-11,-1.435935250947426,2.244074648327654e-10,1.6040868541388515,1,4,1.0,5.0,8192,8192
4,star,iterative,sparse,1.6,,,7.878787878787879,7.878787878787879,,3.6363636363636367,,,,7.878787878787879,0.7350109472893854,0.0901809404814398,0.0327351647844064,-1.3781455261576947,0.1690892634097691,0.0613784339579122,0.308460203247013,0.0748671503244767,0.0200848804663078,1.1435168090212499e-11,9.443052260661344e-11,,-1.2326508317591856,0.1512380348935216,0.0548985402844425,0.6951743939841724,-1.3034519888400815,1.8700287583161015,0.2718379339038345,-1.3828535538884523e-10,-1.1658429008743727,3.1564553748530955e-10,1.6726045693406748,1,4,1.0,5.0,8192,8192
4,star,iterative,sparse,1.65,,,10.90909090909091,10.90909090909091,,8.484848484848484,,,,10.90909090909091,0.7617820722183957,0.0967662314719908,0.0338694862132582,-1.428341385406004,0.1814366840081452,0.0635052866519813,0.3316925413724872,0.0838639233734127,0.0213818371115083,4.02746724859071e-12,2.4627354955587004e-11,,-1.27754737314074,0.1622819036233882,0.056800855151878,0.6971277381775969,-1.3071145090590324,1.8720978013545175,0.2733677343768443,2.7668617397225148e-11,-1.1691187586743363,6.580808120659754e-11,1.6744551777334205,1,4,1.0,5.0,8192,8192
4,star,iterative,sparse,1.7,,,8.484848484848484,8.484848484848484,,6.0606060606060606,,,,8.484848484848484,0.7679320160668361,0.0954948276128218,0.0333790453871503,-1.4398725301378756,0.1790528017822043,0.0625857100750052,0.3368468494132188,0.0840562798734432,0.0214133668977249,-1.4500707579134795e-11,2.1470029163703403e-10,,-1.2878611425179296,0.1601496945314201,0.0559783608822891,0.8440305497147517,-1.5825572808737616,1.9057968084050487,0.4007180074791296,-1.8313803251679414e-10,-1.4154822631865254,4.635179740031248e-10,1.704596486235607,1,4,1.0,5.0,8192,8192
5,cycle,iterative,sparse,0.61,,,9.090909090909092,,,,,,,,0.3627006336262149,0.1053306559881908,0.0250274135894176,-2.45385659014552e-10,1.4049716031711667e-09,,1.04074397822857e-18,8.681381443764903e-19,,-2.3824989075113615e-10,1.0697624255165102e-09,,-3.915545755356961e-10,1.905776867963076e-09,,0.5458870449438149,-2.806634258334384e-09,3.3492074114072064e-09,3.3031556266109192e-18,-1.6794449897917675e-09,-3.6935186406081916e-09,2.8355720362793933e-09,4.934904051176606e-09,1,2,1.3819660112501049,1.3819660112501055,100000,100000
5,path,iterative,sparse,1.0,,,11.515151515151516,18.181818181818183,,26.666666666666668,,,,36.36363636363637,0.4453737618258378,0.0522330114437001,0.0285865634495546,0.2986548224752213,0.0318590848214147,0.018525289519548,0.0240856315477907,0.0054806192518936,0.0021010911801418,2.9054884553545533e-10,5.622760962949451e-10,,-0.3312967125033239,0.0431956893311326,0.0197907496728169,0.3944088271473267,0.2716390893134658,0.4397839271394942,0.0202980800460409,2.3992104951445176e-10,-0.309769399315989,1.8691033044653806e-09,0.4817612783945909,1,2,0.381966011250105,1.3819660112501055,20000,20000
5,star,iterative,sparse,1.5,,,6.666666666666667,6.666666666666667,,3.0303030303030303,,,,6.666666666666667,0.7102947114469871,0.0867322897738657,0.032838447375131,-1.3318025839374568,0.162623043317113,0.0615720888397558,0.2880231002994243,0.0712598268398982,0.020947668711865,2.9611282870156676e-11,8.904004430492439e-11,,-1.1912004441405455,0.1454544718339303,0.0550717504547569,0.5975353934962546,-1.120378862684671,1.8538287393491637,0.2008398073954071,1.3949524868550609e-10,-1.0020973191147833,1.9972837272952404e-10,1.6581148319669194,1,4,1.0,5.0,20000,20000
5,star,iterative,sparse,1.55,,,4.848484848484849,4.848484848484849,,4.848484848484849,,,,4.848484848484849,0.7280822629908752,0.0905621608447505,0.0332094085837191,-1.365154243155721,0.1698040515960238,0.0622676411486351,0.3027967237455664,0.0742638066215604,0.0198161284925195,-5.5229554263291893e-11,1.7348484026613637e-10,,-1.2210310749446072,0.1518773608785989,0.0556938713143207,0.6362731826589112,-1.193012217679824,1.7026133114015307,0.2277245041711313,-2.2443391589632708e-10,-1.0670625665140994,7.265279766688336e-10,1.5228636413505152,1,4,1.0,5.0,20000,20000
5,star,iterative,sparse,1.6,,,7.272727272727273,7.272727272727273,,4.848484848484849,,,,7.272727272727273,0.750680363104036,0.0783263165554058,0.0339861777094564,-1.4075256808403165,0.1468618435057576,0.0637240831884989,0.3204315109210189,0.0654302843786546,0.0208564087246215,-2.3381627189955623e-11,1.6033744072303426e-10,,-1.2589292409561368,0.131357226183791,0.0569965527402994,0.8074571525192844,-1.5139821610326656,1.833709578236698,0.366742717399435,-6.813574704445102e-11,-1.3541468114636517,4.78553308091989e-10,1.640119707278587,1,4,1.0,5.0,20000,20000
5,star,iterative,sparse,1.65,,,5.454545454545455,5.454545454545455,,3.0303030303030303,,,,5.454545454545455,0.7552381319880161,0.0792165445712053,0.0333429288287552,-1.416071497467032,0.148531021029611,0.062517991562636,0.3243711920301843,0.0655130963517937,0.0207949709002433,1.212175221310119e-11,2.470605957356842e-10,,-1.2665728517438717,0.1328501839528928,0.0559177915725255,0.8686643948550202,-1.6287457399667828,1.801979292130024,0.4244500298749717,4.461531144528408e-10,-1.456794477397158,4.74299183261806e-10,1.6117392763904614,1,4,1.0,5.0,20000,20000
5,star,iterative,sparse,1.7,,,5.454545454545455,5.454545454545455,,3.0303030303030303,,,,5.454545454545455,0.7737926953390807,0.0953567840493598,0.0338442854877594,-1.450861303736282,0.1787939700903348,0.0634580352772612,0.3419145290387,0.0801603590821145,0.0218173552468448,2.8283711484000658e-11,8.204165289959922e-11,,-1.2976898004532271,0.1599181884376021,0.0567585922504047,0.7408688515911365,-1.3891290966181924,1.804664496403904,0.3087487435826079,1.3300840984165063e-10,-1.2424748359274884,2.056989578669288e-10,1.6141409963445148,1,4,1.0,5.0,20000,20000
