scenario_id,N,topology,alpha,lambda,bond_cutoff,hotspot_multiplier,deltaB,kappa,backend,source_site,site,shell,lambda_site,lambda_bg,delta_lambda
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,6.5,0.2,dense,1,2,1,0.5561607636811425,0.3800515961178036,0.17610916756333894
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,auto,1,3,2,0.20393826727149397,0.20393826727149397,0.0
N4_path_alpha0.8,4,path,0.8,1.0,4,1.5,6.5,0.2,dense,1,3,2,0.20393826727149397,0.20393826727149397,0.0
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,6.5,0.2,auto,1,3,2,0.20394242855446496,0.20394242855446496,0.0
N4_path_alpha0.8,4,path,0.8,1.0,5,1.5,6.5,0.2,dense,1,3,2,0.20394242855446496,0.20394242855446496,0.0
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,auto,0,0,0,0.3116432738357014,0.3116432738357014,0.0
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,dense,0,0,0,0.3116432738357014,0.3116432738357014,0.0
N4_star_alpha0.8,4,star,0.8,0.4,5,1.5,6.5,0.2,auto,0,0,0,0.3116433239323521,0.3116433239323521,0.0
N4_star_alpha0.8,4,star,0.8,0.4,5,1.5,6.5,0.2,dense,0,0,0,0.3116433239323521,0.3116433239323521,0.0
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,auto,0,1,1,0.11153018909468568,0.11153018909468537,3.0531133177191805e-16
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,dense,0,1,1,0.11153018909468568,0.11153018909468537,3.0531133177191805e-16
N4_star_alpha0.8,4,star,0.8,0.4,5,1.5,6.5,0.2,auto,0,1,1,0.11153020827816931,0.11153020827816922,9.71445146547012e-17
N4_star_alpha0.8,4,star,0.8,0.4,5,1.5,6.5,0.2,dense,0,1,1,0.11153020827816931,0.11153020827816922,9.71445146547012e-17
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,auto,0,2,1,0.11153018909468508,0.11153018909468537,-2.914335439641036e-16
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,dense,0,2,1,0.11153018909468508,0.11153018909468537,-2.914335439641036e-16
N4_star_alpha0.8,4,star,0.8,0.4,5,1.5,6.5,0.2,auto,0,2,1,0.11153020827816931,0.11153020827816922,9.71445146547012e-17
N4_star_alpha0.8,4,star,0.8,0.4,5,1.5,6.5,0.2,dense,0,2,1,0.11153020827816931,0.11153020827816922,9.71445146547012e-17
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,auto,0,3,1,0.11153018909468537,0.11153018909468537,0.0
N4_star_alpha0.8,4,star,0.8,0.4,4,1.5,6.5,0.2,dense,0,3,1,0.11153018909468537,0.11153018909468537,0.0
N4_star_alpha0.8,4,star,0.8,0.4,5,1.5,6.5,0.2,auto,0,3,1,0.11153020827816901,0.11153020827816922,-2.0816681711721685e-16
N4_star_alpha0.8,4,star,0.8,0.4,5,1.5,6.5,0.2,dense,0,3,1,0.11153020827816901,0.11153020827816922,-2.0816681711721685e-16
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,6.5,0.2,auto,0,0,0,0.8605030138105911,0.8605030138105911,0.0
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,6.5,0.2,dense,0,0,0,0.8605030138105911,0.8605030138105911,0.0
N4_star_alpha0.8,4,star,0.8,1.0,5,1.5,6.5,0.2,auto,0,0,0,0.8605188664230417,0.8605188664230417,0.0
N4_star_alpha0.8,4,star,0.8,1.0,5,1.5,6.5,0.2,dense,0,0,0,0.8605188664230417,0.8605188664230417,0.0
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,6.5,0.2,auto,0,1,1,0.34697437911522183,0.3469743791152215,3.3306690738754696e-16
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,6.5,0.2,dense,0,1,1,0.34697437911522183,0.3469743791152215,3.3306690738754696e-16
N4_star_alpha0.8,4,star,0.8,1.0,5,1.5,6.5,0.2,auto,0,1,1,0.34698192253647686,0.34698192253647625,6.106226635438361e-16
N4_star_alpha0.8,4,star,0.8,1.0,5,1.5,6.5,0.2,dense,0,1,1,0.34698192253647686,0.34698192253647625,6.106226635438361e-16
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,6.5,0.2,auto,0,2,1,0.34697437911522133,0.3469743791152215,-1.6653345369377348e-16
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,6.5,0.2,dense,0,2,1,0.34697437911522133,0.3469743791152215,-1.6653345369377348e-16
N4_star_alpha0.8,4,star,0.8,1.0,5,1.5,6.5,0.2,auto,0,2,1,0.3469819225364761,0.34698192253647625,-1.6653345369377348e-16
N4_star_alpha0.8,4,star,0.8,1.0,5,1.5,6.5,0.2,dense,0,2,1,0.3469819225364761,0.34698192253647625,-1.6653345369377348e-16
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,6.5,0.2,auto,0,3,1,0.34697437911522133,0.3469743791152215,-1.6653345369377348e-16
N4_star_alpha0.8,4,star,0.8,1.0,4,1.5,6.5,0.2,dense,0,3,1,0.34697437911522133,0.3469743791152215,-1.6653345369377348e-16
N4_star_alpha0.8,4,star,0.8,1.0,5,1.5,6.5,0.2,auto,0,3,1,0.34698192253647586,0.34698192253647625,-3.885780586188048e-16
N4_star_alpha0.8,4,star,0.8,1.0,5,1.5,6.5,0.2,dense,0,3,1,0.34698192253647586,0.34698192253647625,-3.885780586188048e-16
