lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,spectral_gap,status
0.7836734693877552,0.050000000000000044,0.7972040950025044,0.7972040950025044,0.9999146816656997,0.9499189475824147,0.7971360788770214,~
0.7877551020408163,0.050000000000000044,0.7953701198307406,0.7953701198307406,0.9999148070639579,0.9499190667107599,0.795302359914992,~
0.7918367346938776,0.050000000000000044,0.7935290813328871,0.7935290813328871,0.9999149374663238,0.9499191905930076,0.7934615817386832,~
0.7959183673469388,0.050000000000000044,0.7916810198776223,0.7916810198776223,0.9999150728422754,0.9499193192001616,0.7916137846587796,~
0.8,0.050000000000000044,0.7898259761153871,0.7898259761153871,0.9999152131612014,0.9499194525031412,0.7897590092676712,~
0.8,0.050000000000000044,0.7898259761153871,0.7898259761153871,0.9999152131612014,0.9499194525031412,0.7897590092676712,~
0.8777777777777778,0.050000000000000044,0.7531995220690602,0.7531995220690602,0.9999187898294783,0.9499228503380044,0.7531383546074362,~
0.9555555555555556,0.050000000000000044,0.7143594963107459,0.7143594963107459,0.9999239305786563,0.9499277340497234,0.7143051553972302,~
1.0333333333333334,0.050000000000000044,0.6736503511971572,0.6736503511971572,0.9999304049638115,0.9499338847156209,0.6736034684765873,~
1.1111111111111112,0.050000000000000044,0.6314592368758941,0.6314592368758941,0.9999379712472315,0.9499410726848698,0.6314200682470066,~
1.1888888888888889,0.050000000000000044,0.5882161009202942,0.5882161009202942,0.9999463776480629,0.9499490587656597,0.5881845593895156,~
1.2666666666666666,0.050000000000000044,0.5443908664733148,0.5443908664733148,0.9999553645513388,0.9499575963237719,0.5443665673427427,~
1.3444444444444446,0.050000000000000044,0.5004867287374228,0.5004867287374228,0.9999646679491804,0.9499664345517214,0.5004690455148886,~
1.4222222222222223,0.050000000000000044,0.45702873610356154,0.45702873610356154,0.9999740244542565,0.9499753232315437,0.45701686453272083,~
1.5,0.050000000000000044,0.41454718070997043,0.41454718070997043,0.9999831782210231,0.9499840193099719,0.41454020728892105,~
