deltaB,kappa,hotspot_multiplier,bond_cutoff,lambda_c1,lambda_revival,lambda_c2,residual_min,lambda_revival_first,lambda_revival_global,revival_gap,revival_method,revival_reporting_rule,err_c1,err_revival,err_c2,score,mean_residual,max_residual
5.5,0.2,1.0,4,0.1,0.49375,0.7250000000000001,0.0015131095781196757,0.49375,0.49375,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.56425,0.3699999999999999,5.70125,0.4678986604160645,1.5775726066210471
5.5,0.2,1.5,4,0.1,0.49375,0.7250000000000001,0.02081096031252727,0.49375,0.49375,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.56425,0.3699999999999999,5.70125,0.4705001238293733,1.5452059028821186
5.5,0.2,2.5,4,0.1,0.49375,0.7250000000000001,0.07117758861558865,0.49375,0.49375,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.56425,0.3699999999999999,5.70125,0.4747380769006661,1.5408302698548546
5.5,0.2,2.0,4,0.1,0.49375,0.7250000000000001,0.04596346480059743,0.49375,0.49375,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.56425,0.3699999999999999,5.70125,0.4730551839649518,1.53129789842886
6.5,0.24,2.5,4,0.1,0.4375,0.775,0.03376158022935427,0.4375,0.4375,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.6205,0.31999999999999995,5.7325,0.4010987245643564,1.5604144103106572
6.5,0.24,2.0,4,0.1,0.4375,0.775,0.004383603028650707,0.4375,0.4375,0.0,first_local_minimum,global_minimum_post_violation,0.10300000000000001,0.6205,0.31999999999999995,5.7325,0.3901062750655584,1.5414751586242943
7.0,0.16,2.0,4,0.3812500000000001,0.625,0.7000000000000001,0.10347543652735935,0.625,0.625,0.0,global_minimum_fallback,global_minimum_post_violation,0.17825000000000008,0.43300000000000005,0.3949999999999999,5.9225,0.17964816441540496,0.4633945898981692
7.0,0.12,2.5,4,0.49375,1.2666666666666666,1.5,0.22607374226111565,1.2666666666666666,1.2666666666666666,0.0,global_minimum_fallback,global_minimum_post_violation,0.29075,0.20866666666666656,0.405,5.975833333333332,0.11221511824840946,0.43552135667233727
6.5,0.12,2.0,4,0.49375,1.2666666666666666,1.5,0.20414287714586132,1.2666666666666666,1.2666666666666666,0.0,global_minimum_fallback,global_minimum_post_violation,0.29075,0.20866666666666656,0.405,5.975833333333332,0.14333350032389405,0.4533345073577185
5.5,0.12,2.5,4,0.26875000000000004,0.4375,0.65,0.1106006454583226,0.4375,0.4375,0.0,global_minimum_fallback,global_minimum_post_violation,0.06575000000000003,0.6205,0.44499999999999995,5.984999999999999,0.27568188429401147,0.7922839716817526
7.0,0.16,2.5,4,0.32500000000000007,0.49375,0.7000000000000001,0.10836139114846699,0.49375,0.49375,0.0,global_minimum_fallback,global_minimum_post_violation,0.12200000000000005,0.56425,0.3949999999999999,6.01625,0.19980597983236084,0.4827930633387164
6.0,0.12,2.5,4,0.32500000000000007,0.49375,0.7000000000000001,0.10280889540363769,0.49375,0.49375,0.0,global_minimum_fallback,global_minimum_post_violation,0.12200000000000005,0.56425,0.3949999999999999,6.01625,0.19576854765005952,0.47882802379665357
6.0,0.16,2.5,4,0.21250000000000002,0.3812500000000001,0.5750000000000001,0.11756123730862422,0.8,0.3812500000000001,0.41874999999999996,first_local_minimum,global_minimum_post_violation,0.009500000000000008,0.67675,0.5199999999999999,6.078749999999999,0.2739915938889757,0.5201254646382812
6.5,0.16,2.5,4,0.26875000000000004,0.4375,0.625,0.11621675704414414,0.4375,0.4375,0.0,global_minimum_fallback,global_minimum_post_violation,0.06575000000000003,0.6205,0.47,6.109999999999999,0.2952128241845968,0.7995542632110414
6.5,0.16,2.0,4,0.32500000000000007,0.55,0.625,0.11013735866591501,0.55,0.55,0.0,global_minimum_fallback,global_minimum_post_violation,0.12200000000000005,0.508,0.47,6.11,0.27323574103282106,0.8304806227295133
6.0,0.12,2.0,4,0.4375,0.65,0.7000000000000001,0.10259666764526887,0.65,0.65,0.0,global_minimum_fallback,global_minimum_post_violation,0.2345,0.40800000000000003,0.3949999999999999,6.359999999999999,0.17634462829522315,0.4581709667857907
7.0,0.2,2.5,4,0.21250000000000002,0.32500000000000007,0.55,0.10189851011720519,0.8,0.32500000000000007,0.475,first_local_minimum,global_minimum_post_violation,0.009500000000000008,0.733,0.5449999999999999,6.484999999999999,0.29147067835881435,0.526890187346893
7.0,0.2,2.0,4,0.26875000000000004,0.4375,0.55,0.10627184955015301,1.0333333333333334,0.4375,0.5958333333333334,first_local_minimum,global_minimum_post_violation,0.06575000000000003,0.6205,0.5449999999999999,6.484999999999999,0.27174042954438077,0.5052174442183357
7.0,0.16,1.5,4,0.55,1.2666666666666666,1.5,0.1921386270765999,1.2666666666666666,1.2666666666666666,0.0,global_minimum_fallback,global_minimum_post_violation,0.34700000000000003,0.20866666666666656,0.405,6.538333333333332,0.15506782687434917,0.4224087695458393
5.5,0.12,2.0,4,0.3812500000000001,0.55,0.65,0.10478515673147382,0.55,0.55,0.0,global_minimum_fallback,global_minimum_post_violation,0.17825000000000008,0.508,0.44499999999999995,6.5475,0.2544891000681183,0.8287212233850225
6.5,0.2,2.5,4,0.21250000000000002,0.32500000000000007,0.49375,0.12138933116702288,0.8,0.32500000000000007,0.475,first_local_minimum,global_minimum_post_violation,0.009500000000000008,0.733,0.60125,6.766249999999999,0.20394813243440887,0.5262620358476411
5.5,0.16,2.5,4,0.21250000000000002,0.32500000000000007,0.49375,0.11471945429879837,0.8,0.32500000000000007,0.475,first_local_minimum,global_minimum_post_violation,0.009500000000000008,0.733,0.60125,6.766249999999999,0.2203076839632108,0.5185208518641474
6.0,0.12,1.5,4,0.5750000000000001,1.2666666666666666,1.5,0.19664140410699416,1.2666666666666666,1.2666666666666666,0.0,global_minimum_fallback,global_minimum_post_violation,0.37200000000000005,0.20866666666666656,0.405,6.788333333333332,0.1528477184119169,0.4177834782963753
6.0,0.16,2.0,4,0.32500000000000007,0.4375,0.5750000000000001,0.10069428213897813,1.0333333333333334,0.4375,0.5958333333333334,first_local_minimum,global_minimum_post_violation,0.12200000000000005,0.6205,0.5199999999999999,6.922499999999999,0.25451073550318865,0.49808859084158863
7.0,0.12,2.0,4,0.6000000000000001,1.2666666666666666,1.5,0.22502157853145788,1.2666666666666666,1.2666666666666666,0.0,global_minimum_fallback,global_minimum_post_violation,0.3970000000000001,0.20866666666666656,0.405,7.038333333333334,0.0990641775598557,0.4279056862938013
6.5,0.2,2.0,4,0.26875000000000004,0.3812500000000001,0.49375,0.11144897455406699,1.0333333333333334,0.3812500000000001,0.6520833333333333,first_local_minimum,global_minimum_post_violation,0.06575000000000003,0.67675,0.60125,7.047499999999999,0.19721403902115442,0.501164768235675
5.5,0.16,2.0,4,0.26875000000000004,0.3812500000000001,0.49375,0.10388619580400593,0.8,0.3812500000000001,0.41874999999999996,first_local_minimum,global_minimum_post_violation,0.06575000000000003,0.67675,0.60125,7.047499999999999,0.21371608766280795,0.49240865198062034
6.0,0.2,1.0,4,0.21250000000000002,0.32500000000000007,0.3812500000000001,0.11169461418671789,0.8,0.32500000000000007,0.475,first_local_minimum,global_minimum_post_violation,0.009500000000000008,0.733,0.7137499999999999,7.328749999999999,0.18039755967194962,0.4654580566105282
6.0,0.2,1.5,4,0.21250000000000002,0.26875000000000004,0.3812500000000001,0.10115027493382833,0.8,0.26875000000000004,0.53125,first_local_minimum,global_minimum_post_violation,0.009500000000000008,0.78925,0.7137499999999999,7.609999999999999,0.17783248156207243,0.4807700485882379
6.5,0.12,1.5,4,0.675,1.2666666666666666,1.5,0.22045051746726263,1.2666666666666666,1.2666666666666666,0.0,global_minimum_fallback,global_minimum_post_violation,0.47200000000000003,0.20866666666666656,0.405,7.788333333333332,0.12209755589455273,0.4243871831655459
7.0,0.16,1.0,4,0.7000000000000001,1.2666666666666666,1.5,0.2534554889862395,1.2666666666666666,1.2666666666666666,0.0,global_minimum_fallback,global_minimum_post_violation,0.49700000000000005,0.20866666666666656,0.405,8.038333333333334,0.13136833800444123,0.36931935029332186
6.0,0.12,1.0,4,0.7000000000000001,1.2666666666666666,1.5,0.25773104265557956,1.2666666666666666,1.2666666666666666,0.0,global_minimum_fallback,global_minimum_post_violation,0.49700000000000005,0.20866666666666656,0.405,8.038333333333334,0.1303932120833596,0.3668407786189982
6.0,0.2,2.5,4,0.15625,0.21250000000000002,0.3812500000000001,0.10543848229727948,0.675,0.21250000000000002,0.4625,first_local_minimum,global_minimum_post_violation,0.046750000000000014,0.8455,0.7137499999999999,8.26375,0.18180659167068758,0.5168011840688013
6.5,0.12,1.0,4,0.75,1.2666666666666666,1.5,0.27372637016927737,1.2666666666666666,1.2666666666666666,0.0,global_minimum_fallback,global_minimum_post_violation,0.5469999999999999,0.20866666666666656,0.405,8.538333333333332,0.10064576496869795,0.3744614670546009
7.0,0.12,1.5,4,0.8,1.2666666666666666,1.5,0.24321836989306989,1.2666666666666666,1.2666666666666666,0.0,global_minimum_fallback,global_minimum_post_violation,0.597,0.20866666666666656,0.405,9.038333333333332,0.08416659326638305,0.40318739605053533
7.0,0.12,1.0,4,0.8,1.2666666666666666,1.5,0.28548753269360816,1.2666666666666666,1.2666666666666666,0.0,global_minimum_fallback,global_minimum_post_violation,0.597,0.20866666666666656,0.405,9.038333333333332,0.0728648881593951,0.4348512436732136
