lambda,residual,omega_out,omega_in,predicted_omega_out,predicted_omega_in,lambda_out,lambda_in,status,alpha
0.7999999999999999,0.21539266404637003,3.3091442617812485,3.3091442617812485,0.7346200295467107,0.5763882643208216,0.3612479374092744,0.7349416389980372,✗,1.0
1.2,0.184200837860928,3.3091442617812485,3.3091442617812485,0.7574610565803831,0.6179360953112527,0.32019988527803367,0.6182903177007367,✗,1.0
1.0999999999999999,0.19605580371950027,3.3091442617812485,3.3091442617812485,0.745176057590213,0.5990799667068352,0.34196474754415657,0.6692262395236435,✗,1.0
0.1,0.01950471006997323,2.8955012290585924,2.8955012290585924,0.9864118730616148,0.9671721954679687,0.01147942297184184,0.02828503952541375,✓,1.2
0.2,0.06699416145447612,2.8955012290585924,2.8955012290585924,0.9492298522707021,0.8856369942902702,0.04457135048995066,0.10760899259236732,~,1.2
0.4,0.16768060571756382,2.8955012290585924,2.8955012290585924,0.8409592209250067,0.699946669376531,0.15759858417000838,0.35723356239261506,✗,1.2
0.3,0.12127551658253899,2.8955012290585924,2.8955012290585924,0.8973336268972537,0.7885090277484059,0.0953439259986091,0.2235135815497133,✗,1.2
0.5,0.20130832600115833,2.8955012290585924,2.8955012290585924,0.7885617426490692,0.6298176982878289,0.2234429319390091,0.48980086184531213,✗,1.2
0.6,0.09776729116835758,3.3091442617812485,2.8955012290585924,0.7456611248528371,0.5795522159398201,0.2842431441822394,0.6045583879190369,~,1.2
0.7,0.2343608134947036,3.3091442617812485,3.3091442617812485,0.7150791180747889,0.5474925942497061,0.33203887831356943,0.68875727042241,✗,1.2
0.9999999999999999,0.22885736337930085,3.3091442617812485,3.3091442617812485,0.6974293117354575,0.5378174783082402,0.3615308906260772,0.7161390563604126,✗,1.2
0.7999999999999999,0.23828327823993523,3.3091442617812485,3.3091442617812485,0.6975945075844813,0.5313694014350777,0.3612479374092744,0.7349416389980372,✗,1.2
1.0999999999999999,0.21780267344557225,3.3091442617812485,3.3091442617812485,0.7090399847425581,0.5546091804858212,0.34196474754415657,0.6692262395236435,✗,1.2
1.2,0.20534966636177154,3.3091442617812485,3.3091442617812485,0.7224181496363902,0.5740698236348691,0.32019988527803367,0.6182903177007367,✗,1.2
0.8999999999999999,0.2360921857827365,3.3091442617812485,3.3091442617812485,0.6924312811552649,0.5289536664829778,0.37015552687960346,0.7421039613434978,✗,1.2
